country,location_name,latitude,longitude,YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS10M,WS50M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
India,Mumbai,19.07,72.87,2025,8,7,7,25.7,0.58,0.63,0.71,229.5,87.99,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,8,26.48,2.02,0.96,1.02,242.6,85.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,9,27.54,3.9,1.42,1.51,247.2,80.95,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,10,28.43,4.96,1.8,1.9,253.9,77.26,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,11,29.03,11.02,2.16,2.24,265.2,75.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,12,29.4,12.67,2.58,2.66,273.8,74.62,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,13,29.23,21.88,2.97,3.12,276,75.19,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,14,28.7,45.81,3.16,3.41,278.2,77.25,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,15,27.84,44.74,3.01,3.36,282.9,80.62,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,16,27.09,14.98,2.73,3.19,284.4,84.23,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,17,26.62,1.05,2.07,2.56,291.2,86.86,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,18,26.09,0.16,1.31,2.29,292.5,92.15,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,19,25.68,0.08,1.13,1.97,288.1,94.03,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,20,25.52,0.02,1.08,1.71,281.7,93.29,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,21,25.45,0.06,1.02,1.55,268.9,92.22,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,22,25.36,0.09,1.04,1.5,249.1,91.69,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,7,23,25.02,0.16,1.35,2.1,242.1,93.98,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,0,24.79,0.2,1.45,2.31,243.4,94.75,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,1,24.59,0.25,1.39,2.15,246.7,94.71,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,2,24.57,0.4,1.21,1.78,248.1,93.72,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,3,24.64,0.4,1.02,1.47,256.9,92.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,4,24.64,0.31,1.01,1.45,270,91.99,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,5,24.7,0.48,1.03,1.49,270.6,92.24,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,6,24.97,2,0.92,1.35,259.3,92.48,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,7,25.76,1.79,0.91,1.1,238.9,88.49,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,8,26.31,3.92,0.98,1.07,228.7,85.39,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,9,27.21,5.19,1.12,1.19,240,82.15,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,10,28.54,8.38,1.53,1.58,249.3,77.44,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,11,29.27,10.86,2.45,2.54,256.8,75.17,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,12,29.14,32.84,3.24,3.41,263.3,76.32,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,13,29.06,35.23,3.57,3.77,269.2,77.48,-999,-999,-999
